School ID,School Name,Network,Subject,Grade,2014 # Tested,2014 % Students Making National Average Growth,2014 National School Growth Percentile,2015 # Tested,2015 % Students Making National Average Growth,2015 National School Growth Percentile,2016 # Tested,2016 % Students Making National Average Growth,2016 National School Growth Percentile
400024,CICS - BASIL,Charter,READING,Grade 5,67,56.7,54,74,23,1,59,54.2,24
400024,CICS - BASIL,Charter,READING,Grade 6,46,50,30,68,52.9,54,66,80.3,98
400024,CICS - BASIL,Charter,READING,Grade 7,41,70.7,93,54,79.6,99,69,72.5,90
400024,CICS - BASIL,Charter,READING,Grade 8,45,73.3,98,40,62.5,69,54,63,72
400024,CICS - BASIL,Charter,READING,Grades 3-8 Combined,335,55.8,57,384,51.8,38,411,61.3,68
400025,CICS - BUCKTOWN,Charter,MATH,Grade 3,57,42.1,53,71,52.1,46,66,50,34
400025,CICS - BUCKTOWN,Charter,MATH,Grade 4,75,44,31,61,24.6,1,74,29.7,2
400025,CICS - BUCKTOWN,Charter,MATH,Grade 5,69,44.9,34,75,28,11,60,81.7,99
400025,CICS - BUCKTOWN,Charter,MATH,Grade 6,79,31.6,15,77,31.2,18,77,68.8,83
400025,CICS - BUCKTOWN,Charter,MATH,Grade 7,59,49.2,50,67,82.1,99,77,77.9,96
400025,CICS - BUCKTOWN,Charter,MATH,Grade 8,69,47.8,40,58,51.7,59,68,41.2,19
400025,CICS - BUCKTOWN,Charter,MATH,Grades 3-8 Combined,408,42.9,36,409,44.5,34,422,58.1,61
400025,CICS - BUCKTOWN,Charter,READING,Grade 3,57,40.4,30,71,57.7,89,66,54.5,30
400025,CICS - BUCKTOWN,Charter,READING,Grade 4,75,44,34,61,49.2,31,74,35.1,2
400025,CICS - BUCKTOWN,Charter,READING,Grade 5,69,56.5,50,75,52,28,60,60,89
400025,CICS - BUCKTOWN,Charter,READING,Grade 6,79,38,10,77,46.8,30,77,70.1,95
400025,CICS - BUCKTOWN,Charter,READING,Grade 7,59,57.6,71,67,77.6,98,77,76.6,98
400025,CICS - BUCKTOWN,Charter,READING,Grade 8,69,50.7,26,58,70.7,80,68,51.5,57
400025,CICS - BUCKTOWN,Charter,READING,Grades 3-8 Combined,408,47.5,31,409,58.4,68,422,58.3,70
400027,CICS - IRVING PARK,Charter,MATH,Grade 3,26,23.1,3,52,28.8,12,47,40.4,20
400027,CICS - IRVING PARK,Charter,MATH,Grade 4,80,61.3,92,27,63,53,58,50,60
400027,CICS - IRVING PARK,Charter,MATH,Grade 5,54,14.8,2,83,42.2,21,46,63,85
400027,CICS - IRVING PARK,Charter,MATH,Grade 6,80,60,77,55,58.2,61,80,60,73
400027,CICS - IRVING PARK,Charter,MATH,Grade 7,70,31.4,12,77,79.2,94,51,88.2,99
400027,CICS - IRVING PARK,Charter,MATH,Grade 8,50,26,1,64,64.1,67,74,35.1,10
400027,CICS - IRVING PARK,Charter,MATH,Grades 3-8 Combined,360,40.6,34,358,56.1,52,356,55.1,61
400027,CICS - IRVING PARK,Charter,READING,Grade 3,26,19.2,1,53,43.4,26,47,44.7,13
400027,CICS - IRVING PARK,Charter,READING,Grade 4,80,57.5,78,27,66.7,55,58,63.8,90
400027,CICS - IRVING PARK,Charter,READING,Grade 5,54,48.1,61,83,61.4,81,46,78.3,97
400027,CICS - IRVING PARK,Charter,READING,Grade 6,80,53.8,80,55,70.9,75,81,67.9,83
400027,CICS - IRVING PARK,Charter,READING,Grade 7,70,48.6,70,77,66.2,84,51,66.7,96
400027,CICS - IRVING PARK,Charter,READING,Grade 8,50,34,2,64,73.4,76,74,56.8,55
400027,CICS - IRVING PARK,Charter,READING,Grades 3-8 Combined,360,47.5,55,359,63.8,73,357,63,78
400028,CICS - PRAIRIE,Charter,MATH,Grade 3,21,28.6,1,47,29.8,9,43,48.8,64
